Date,Dataset Avg,Dataset Std Dev,Site Avg,Site Std Dev
2015-09-02,0.826929430982,8.45602639428,0.204591570666,0.253006604454
2015-09-09,0.937320374043,8.60668091745,0.180165696627,0.210123106591
2015-09-16,3.67855447401,34.5312091224,0.246615343359,0.290346228762
2015-09-23,3.42869738324,30.9358528599,0.285266316817,0.347226914331
2015-09-30,1.93723689207,16.2894886747,0.243248355649,0.294049582595
2015-10-07,1.41383878627,11.6115890858,0.208924525052,0.247330522817
2015-10-14,1.99232797233,13.5449788663,0.532611122203,0.547046834243
2015-10-21,3.98476804088,21.1538581952,0.516756087748,0.484025595026
2015-10-28,11.8399922763,91.6806442037,0.512648577486,0.477449748611
2015-11-04,2.27507278954,14.8913595416,0.409886918151,0.362759344229
2015-11-11,3.38517894941,19.1044265259,0.354193425276,0.347586760919
2015-11-18,4.18842151287,23.1095785485,0.403719690902,0.371049066324
