site	quota	used	cpu
T2_AT_Vienna	158000	126329.974998	22496
T2_BE_IIHE	518000	416025.154242	1473
T2_BE_UCL	340000	266895.287028	1425
T2_BR_SPRACE	475000	421800.309902	25
T2_BR_UERJ	250000	87681.1684697	0
T2_CH_CSCS	244000	194000.313296	3304
T2_CN_Beijing	160000	128176.198807	1259
T2_DE_DESY	800000	558408.679302	1257
T2_DE_RWTH	450000	397757.581743	1332
T2_ES_CIEMAT	425000	316020.555101	0
T2_ES_IFCA	400000	311789.448493	542
T2_FI_HIP	250000	191279.863582	532
T2_FR_CCIN2P3	300000	233213.445308	2
T2_FR_GRIF_IRFU	225000	107710.452229	25433
T2_FR_GRIF_LLR	300000	222095.604083	2217
T2_FR_IPHC	393000	322100.4357	1368
T2_HU_Budapest	150000	119506.628495	1062
T2_IN_TIFR	275000	210839.42208	1144
T2_IT_Bari	552000	431755.451483	1818
T2_IT_Legnaro	487000	430944.009781	1175
T2_IT_Pisa	495000	399388.674319	6719
T2_IT_Rome	457000	410970.752726	8828
T2_KR_KNU	280000	227323.423759	1289
T2_PL_Warsaw	173000	109786.269834	1055
T2_PT_NCG_Lisbon	125000	91999.0289741	241
T2_RU_JINR	250000	216262.363969	1804
T2_UA_KIPT	200000	198576.587029	701
T2_UK_London_Brunel	400000	288308.468479	1039
T2_UK_London_IC	700000	598716.290968	1117
T2_UK_SGrid_RALPP	325000	243187.699893	950
T2_US_Caltech	575000	488656.073828	1288
T2_US_Florida	575000	415922.980786	294
T2_US_MIT	575000	444357.678506	4353
T2_US_Nebraska	775000	686528.141563	1762
T2_US_Purdue	834000	725675.10958	25744
T2_US_UCSD	575000	508057.696261	715
T2_US_Wisconsin	575000	481170.284161	1049
T2_RU_IHEP	206000	185306.439183	0
T2_RU_INR	100000	88689.7621331	1013
T2_CH_CERN	900000	650985.206704	2454
T2_TH_CUNSTDA	80000	75343.9860578	280
T2_UK_SGrid_Bristol	60000	45862.8255255	380
